Brand,Product_Name,Former_Price,Current_Price,Discount
Ray-Ban,RB6414,,189.0,
Ray-Ban,RB7144,,249.0,
,,,,
Ray-Ban,RB8755,,317.0,
Ray-Ban,RB6421,,210.0,
Ray-Ban,RB7153,143.0,71.5,50
Ray-Ban,RB8757,263.0,184.1,30
Oakley,Cathode,,227.0,
Oakley,Latch TI,353.0,176.5,50
Oakley,Cartridge,,318.0,
Oakley,Litebeam (Trubridge),,187.0,
Oakley,Pitchman R Carbon,,297.0,
Ray-Ban,RB3947V - Round Gaze,,210.0,
Oakley,Diecutter RX,199.0,99.5,50
Ray-Ban,RB5387,,176.0,
Ray-Ban,RB6428,,210.0,
Ray-Ban,RB5296D,,220.0,
Ray-Ban,RB3648V The Marshal,,222.0,
Ray-Ban,RB6434,,210.0,
Oakley,Metalink,,255.0,
Oakley,Plungeline,,187.0,
Oakley,Alias,,187.0,
Oakley,Deadbolt - Ahyris Collection,387.0,270.9,30
Ray-Ban,RB1971V Icons,179.0,89.5,50
Ray-Ban,RB3716VM Clubmaster Metal,,237.0,
Ray-Ban,RB5375,,222.0,
,,,,
Ray-Ban,RB6441,,210.0,
Oakley,Top Spinner 4B,,172.0,
Oakley,Tie Bar 0.5,,387.0,
Oakley,Stagebeam,199.0,99.5,50
Ray-Ban,RB5383,,222.0,
Ray-Ban,RB5383F - Alternate Fit,191.0,133.7,30
Ray-Ban,RB6444,176.0,123.2,30
Ray-Ban,RB6448,,210.0,
Ray-Ban,RB1969V,177.0,88.5,50
Ray-Ban,RB3857V Frank,,210.0,
Ray-Ban,RB6519,189.0,94.5,50
Ray-Ban,RB7177,,176.0,
Oakley,Wingback Sq,,318.0,
Ray-Ban,RB3447VM,,210.0,
Ray-Ban,RB7144M,,290.0,
Ray-Ban,RB8416M,,237.0,
Ray-Ban,RB5393,,188.0,
Oakley,Activate - Alternate Fit,,215.0,
Oakley,Centerboard,,187.0,
Oakley,Port Bow,,187.0,
Ray-Ban,RB2180V,170.0,85.0,50
Ray-Ban,RB6465 Jack,,210.0,
Ray-Ban,RB6465F Jack - Alternate Fit,198.0,138.6,30
,,,,
Ray-Ban,RB7185,,162.0,
Ray-Ban,RB7185F - Alternate Fit,153.0,107.1,30
Ray-Ban,RB8766,,263.0,
Oakley,Activate,,227.0,
Oakley,Crosslink - Alternate Fit,,187.0,
Oakley,Top Spinner 5B,,172.0,
Oakley,Fuel Line,183.0,91.5,50
Oakley,Leadline RX,205.0,102.5,50
Oakley,Seller,318.0,222.6,30
Oakley,Spindrift RX,,227.0,
Oakley,Tensile,,297.0,
Oakley,Trajectory,,297.0,
Oakley,Volt Drop,227.0,158.9,30
Oakley,Wire Tap 2.0 RX,,387.0,
Ray-Ban,RB5395,,210.0,
Ray-Ban,RB5398,,210.0,
Ray-Ban,RB5486,198.0,138.6,30
Ray-Ban,RB6466,,222.0,
Ray-Ban,RB7190,,162.0,
Ray-Ban,RB7192M,,216.0,
Ray-Ban,RB7244,178.0,89.0,50
Ray-Ban,RB8247V,,479.0,
